ABAJO	DOWN
el_marco_del_plugin_se_pinta_con_su_titulo	the_plugin_frame_is_painted_with_its_title
el_mensaje_corto_dice_que_no_esta_construido_en_ambos_locales	the_short_message_says_it_is_not_built_in_both_locales
el_mensaje_corto_tampoco_lleva_un_hazard_de_terminal	the_short_message_also_does_not_carry_a_terminal_hazard
el_mensaje_de_contador_ignorado_lleva_los_dos_argumentos_en_ambos_locales	the_ignored_counter_message_carries_both_arguments_in_both_locales
el_mensaje_de_contador_ignorado_nombra_comando_y_numero	the_ignored_counter_message_names_command_and_number
el_mensaje_de_no_disponible_jamas_lleva_un_hazard_de_terminal	the_not_available_message_never_carries_a_terminal_hazard
el_mensaje_de_no_disponible_lleva_los_tres_argumentos_en_ambos_locales	the_not_available_message_carries_the_three_arguments_in_both_locales
el_mensaje_de_no_disponible_nombra_el_comando_y_el_motivo	the_not_available_message_names_the_command_and_the_reason
el_menu_se_abre_con_el_teclado_dentro_de_un_panel_lateral	the_menu_opens_with_the_keyboard_inside_a_side_panel
el_menu_se_pinta_y_sus_zonas_coinciden	the_menu_is_painted_and_its_zones_match
el_menu_se_reabre_por_donde_iba	the_menu_reopens_where_it_left_off
el_menu_se_recorre_y_lo_elegido_corre	the_menu_is_traversed_and_the_chosen_one_runs
el_mismo_fichero_dos_veces_no_es_una_comparacion	the_same_file_twice_is_not_a_comparison
el_modal_de_nombre_en_destino_elide_las_rutas	the_name_in_destination_modal_elides_the_paths
el_modal_de_sumas_enmascara_y_marca_el_corte	the_checksums_modal_masks_and_marks_the_cut
el_modal_de_un_lote_pinta_una_ruta_por_linea_y_resume_el_resto	the_batch_modal_paints_one_path_per_line_and_summarizes_the_rest
el_modo_sale_del_atributo_del_listado	the_mode_comes_from_the_listing_attribute
el_nivel_del_anillo_sube_no_baja_y_vuelve_al_cerrar	the_ring_level_rises_never_lowers_and_resets_on_close
el_nivel_del_daemon_va_en_la_captura_y_no_en_el_nivel	the_daemon_level_goes_in_the_capture_and_not_in_the_level
el_objetivo_lleva_el_hueco_de_la_hoja	the_target_carries_the_sheets_slot
el_objetivo_lleva_el_hueco_del_preview	the_target_carries_the_previews_slot
el_orden_de_foco_solo_lleva_visibles_enfocables	the_focus_order_only_carries_visible_focusable_ones
el_orden_de_los_anclajes_es_el_de_quien_tapa_a_quien	the_order_of_the_anchors_is_who_covers_whom
el_panel_de_agentes_deshace_la_sesion_elegida	the_agents_pane_undoes_the_chosen_session
el_panel_de_diferencias_se_come_el_raton_como_cualquier_overlay	the_diff_pane_eats_the_mouse_like_any_overlay
el_panel_de_procesos_toma_el_teclado_al_abrir	the_processes_pane_takes_the_keyboard_on_open
el_panel_despacha_su_vocabulario_entero	the_pane_dispatches_its_entire_vocabulary
el_panel_recien_partido_se_queda_el_foco	the_freshly_split_pane_keeps_the_focus
el_paquete_trae_el_daemon_y_el_cli	the_package_brings_the_daemon_and_the_cli
el_perfil_pegajoso_pide_el_cambio	the_sticky_profile_asks_for_the_change
el_perfil_se_lee_y_conserva_sus_bytes	the_profile_is_read_and_keeps_its_bytes
el_pie_de_las_sumas_solo_ofrece_copiar_cuando_hay_digests	the_checksums_footer_only_offers_copy_when_there_are_digests
el_pie_del_modal_de_aprobacion_se_pinta_con_un_lote_gigante	the_approval_modal_footer_is_painted_with_a_giant_batch
el_pie_del_panel_cuenta_y_dice_el_espacio_libre	the_pane_footer_counts_and_tells_the_free_space
el_plan_del_lote_solo_rellena_al_modal_que_lo_esperaba	the_batch_plan_only_fills_the_modal_that_was_waiting_for_it
el_plan_omite_lo_que_no_cambia_y_el_contador_no_salta	the_plan_omits_what_does_not_change_and_the_counter_does_not_skip
el_polling_detecta_cambios_y_se_cancela_limpio	polling_detects_changes_and_cancels_cleanly
el_preset_que_ate_layout_processes_lo_ata_en_las_dos_pantallas	the_preset_that_binds_layout_processes_binds_it_on_both_screens
el_presupuesto_de_key_descuenta_el_prefijo_root	the_key_budget_deducts_the_root_prefix
el_primer_hueco_es_a_quien_se_le_pregunta	the_first_slot_is_the_one_that_gets_asked
el_puente_abre_su_brazo_de_streams_una_sola_vez	the_bridge_opens_its_streams_arm_only_once
el_rastro_de_vuelta_sobrevive	the_trail_back_survives
el_rect_del_visor_es_el_hueco_que_draw_viewer_deja_en_blanco	the_viewer_rect_is_the_slot_draw_viewer_leaves_blank
el_renderer_no_pide_ninguna_clave_que_no_exista	the_renderer_does_not_ask_for_any_key_that_does_not_exist
el_renderer_solo_invoca_comandos_conocidos	the_renderer_only_invokes_known_commands
el_resumen_cuenta_lo_que_se_va_a_crear_y_lo_que_se_mueve	the_summary_counts_what_will_be_created_and_what_is_moved
el_selector_de_conexiones_lo_llena_el_daemon	the_connections_selector_is_filled_by_the_daemon
el_selector_de_perfiles_ensena_y_lo_elegido_se_aplica	the_profiles_selector_shows_and_the_chosen_one_is_applied
el_selector_de_tema_elige_y_avisa_a_quien_hospeda	the_theme_selector_chooses_and_notifies_the_host
el_selector_lista_las_de_fabrica_y_las_del_usuario	the_selector_lists_the_factory_ones_and_the_users
el_shell_anuncia_donde_esta	the_shell_announces_where_it_is
el_sidebar_despacha_su_propia_tecla	the_sidebar_dispatches_its_own_key
el_sidebar_ocupa_dieciseis_celdas_y_el_listado_empieza_en_la_diecisiete	the_sidebar_occupies_sixteen_cells_and_the_listing_starts_at_seventeen
el_sobre	the_envelope
el_subshell_sigue_al_panel_con_un_nombre_hostil	the_subshell_follows_the_pane_with_a_hostile_name
el_suspend_no_enciende_una_captura_que_estaba_apagada	suspend_does_not_turn_on_a_capture_that_was_off
el_tablero_se_recorre_y_se_descarta	the_dashboard_is_traversed_and_discarded
el_tabulador_cicla_los_listados_y_se_salta_los_laterales	tab_cycles_the_listings_and_skips_the_sides
el_tamano_y_la_fecha_no_van_en_blanco	the_size_and_the_date_are_not_left_blank
el_tema_de_un_perfil_puede_ser_una_ruta	a_profiles_theme_can_be_a_path
el_tema_puede_ser_un_fichero	the_theme_can_be_a_file
el_texto_de_cada_preset_llega_al_suelo_de_contraste	each_presets_text_reaches_the_contrast_floor
el_texto_de_sumas_omite_lo_que_no_tiene_digest	the_checksums_text_omits_what_has_no_digest
el_texto_del_guest_se_enmascara_y_el_cromo_no_se_concede	the_guests_text_is_masked_and_chrome_is_not_granted
el_texto_llena_la_fila_y_el_salto_baja	the_text_fills_the_row_and_the_line_break_moves_down
el_tope_de_planes_retenidos_no_sale_como_error_interno	the_retained_plans_cap_does_not_come_out_as_an_internal_error
el_tope_remoto_tira_lo_viejo_y_lo_cuenta	the_remote_cap_discards_the_old_and_counts_it
el_tope_se_acota_y_al_bajar_se_queda_lo_cercano	the_cap_is_bounded_and_lowering_it_keeps_what_is_near
el_total_de_pasos_suma_las_clases_y_solo_las_clases	the_total_steps_add_up_the_classes_and_only_the_classes
el_ultimo_gana_por_campo_y_las_capas_de_keymap_se_acumulan	last_one_wins_per_field_and_keymap_layers_accumulate
el_usuario_no_sale_en_el_detalle_de_un_rechazo	the_user_does_not_appear_in_a_rejections_detail
el_veredicto_del_lote_sobrevive_a_un_terminal_corto	the_batch_verdict_survives_a_short_terminal
elegida	chosen
elegido	chosen
elegir	choose
elegir_agente	choose_agent
elegir_ajuste	choose_setting
elegir_del_selector	choose_from_selector
elegir_del_selector_en_otro	choose_from_selector_into_another
elegir_disposicion	choose_layout
elegir_extension	choose_extension
elegir_fila_del_selector	choose_row_from_selector
elegir_idioma	choose_language
elegir_pagina	choose_page
elegir_perfil	choose_profile
elegir_pestana	choose_tab
elegir_una_rama_navega_el_listado_y_el_arbol_no_se_mueve	choosing_a_branch_navigates_the_listing_and_the_tree_does_not_move
elemento_de_estado_en	status_item_at
elementos_de_estado	state_items
elementos_de_estado_de_referencia	reference_status_items
empaquetados	packed
empaquetar	pack
empaquetar_rehusa_un_formato_que_no_se_escribe	packaging_refuses_a_format_that_cannot_be_written
empaquetar_saca_el_formato_del_nombre	packaging_derives_the_format_from_the_name
empezo	started
empujar_sesion	empujar_session
en_bloques_sin_previewer_el_visor_lo_dice	in_blocks_without_previewer_the_viewer_says_so
en_columna_cada_boton_es_una_fila_del_borde_izquierdo	in_column_mode_each_button_is_a_row_on_the_left_edge
en_estrecho_las_filas_se_pulsan_y_la_descripcion_no	in_narrow_mode_the_rows_are_clickable_and_the_description_is_not
en_kitty_con_miniatura_colocada_no_sale_el_aviso	in_kitty_with_thumbnail_placed_the_warning_does_not_appear
en_kitty_sin_miniatura_el_visor_lo_dice	in_kitty_without_thumbnail_the_viewer_says_so
en_kitty_sin_miniatura_el_visor_lo_dice_y_no_se_come_la_posicion	in_kitty_without_thumbnail_the_viewer_says_so_and_does_not_eat_the_position
en_kitty_sin_miniatura_el_visor_lo_dice_y_no_se_come_la_posicion_en_ingles	in_kitty_without_thumbnail_the_viewer_says_so_and_does_not_eat_the_position_in_english
en_off_no_se_avisa_porque_lo_pidio_el_lector	in_off_mode_there_is_no_warning_because_the_reader_asked_for_it
en_solo_lectura_copiar_no_abre_nada	in_read_only_copying_opens_nothing
en_solo_lectura_el_panel_dice_que_no_escucha	in_read_only_the_pane_says_it_does_not_listen
en_solo_lectura_la_paleta_no_ofrece_lo_que_muta	in_read_only_the_palette_does_not_offer_what_mutates
en_solo_lectura_no_se_deshace_una_sesion	in_read_only_a_session_cannot_be_undone
en_solo_lectura_no_se_ejecuta_un_comando_de_extension	in_read_only_an_extension_command_does_not_run
en_solo_lectura_no_se_gobierna_ninguna_extension	in_read_only_no_extension_is_governed
en_solo_lectura_no_se_lanza_nada_del_escritorio	in_read_only_nothing_from_the_desktop_is_launched
en_teclas	in_keys
en_un_espejo_cada_mitad_se_archiva_por_su_cuenta	in_a_mirror_each_half_archives_on_its_own
en_un_panel_local_no_hay_conexion_que_cerrar	in_a_local_pane_there_is_no_connection_to_close
en_vuelo	in_flight
encender	turn_on
encender_sin_aprobar_se_rehusa	turning_on_without_approving_is_refused
encendida	on
encima	above
encolar	enqueue
encolar_sumas	enqueue_checksums
endpoint_acepta_el_scheme_de_un_plugin	endpoint_accepts_a_plugin_scheme
endpoint_invalido	endpoint_invalid
endpoint_o_region_vacios_son_error_local	empty_endpoint_or_region_is_local_error
enfocado	focused
enfocar_lo_pulsado	focus_the_pressed
enfocar_para_actuar	enfocar_for_act
enmascara_override_rtl	masks_override_rtl
ensena	shows
enter_en_ayuda	enter_in_help
enter_en_un_disco_da_su_montaje	enter_on_a_disk_gives_its_mount
enter_en_un_favorito_da_el_destino_y_suelta_el_teclado	enter_on_a_favorite_gives_the_destination_and_releases_the_keyboard
enter_en_un_favorito_roto_explica_en_la_barra	enter_on_a_broken_favorite_explains_in_the_bar
enter_en_una_cabecera_no_hace_nada	enter_on_a_header_does_nothing
entera	whole
entero	whole
entorno	environment
entrada	entry
entradas	entries
entradas_de	entries_of
entrar	enter
entrar_dos_veces_en_la_alterna_no_pierde_la_de_verdad	entering_the_alternate_screen_twice_does_not_lose_the_real_one
entrar_en_docs	enter_docs
entry_crea_por_defecto_y_iter_va_en_orden	entry_creates_by_default_and_iter_goes_in_order
enviar_lote	send_batch
eof_con_tool_en_vuelo_termina_limpio	eof_with_tool_in_flight_ends_cleanly
epoca	epoch
epoca_busqueda	epoch_search
epoca_conexion	epoch_connection
epoca_ia	epoch_ia
epoca_organizar	epoch_organize
equipo	team
error_al_aplicar	error_on_apply
error_al_borrar	error_on_delete
error_al_decidir	error_on_decide
error_al_escribir	error_on_write
error_de_busqueda	search_error
error_de_capacidades	capabilities_error
errores	errors
errores_de_carga	load_errors
es_boton	es_button
es_cambio	es_change
es_cromo	es_chrome
es_del_humano	is_from_human
es_ficha_de	is_tab_of
es_grupo_de_paneles	is_a_group_of_panes
es_historia	es_history
es_listado	es_listing
es_modificador	es_modifier
es_populares	es_popular
es_unidad_de	is_unit_of
esc_cancela_la_secuencia_pendiente	esc_cancels_the_pending_sequence
esc_cancela_limpio_sin_destino_a_medias	esc_cancels_cleanly_without_a_half_finished_destination
esc_dentro_de_secuencia_es_error_de_carga	esc_inside_sequence_is_a_load_error
esc_limpia_el_contador	esc_clears_the_counter
escape_borrar	escape_delete
escribe_layout	writes_layout
escribiendo	writing
escribir	write
escribir_ajuste	write_setting
escribir_buzon	write_buzon
escribir_config	write_config
escribir_crudo	write_raw
escribir_devuelve_el_cursor_arriba	typing_returns_the_cursor_up
escribir_en_dialogo	write_in_dialog
escribir_tecla	write_key
escrito	written
escritorio	desktop
escritura	write
escrituras	writes
escuchando	listening
espacio_de	space_of
espejo	mirror
espejo_permanente	mirror_permanent
espera	wait
espera_hasta	wait_until
espera_quieto	wait_idle
esperando	waiting
esperando_local	waiting_local
esperar_arranque	wait_startup
esperar_ask	wait_ask
esperar_buffer	wait_buffer
esperar_foto	wait_snapshot
esquema	scheme
esquema_de_prueba	test_scheme
esquema_del_orden	order_scheme
esquema_oscuro	scheme_dark
esquemas	schemes
estado	state
estado_de_busqueda	search_state
estado_final	state_final
estado_transferencia	state_transfer
estados	states
estilo	style
estilo_de_entrada	entry_style
estrecha	narrow
estrecho	narrow
etiqueta	label
etiqueta_de_ancla	anchor_label
etiqueta_de_columna	column_label
etiqueta_de_fuente	source_label
evento	event
existe	exists
expand_tilde_solo_prefijo	expand_tilde_solo_prefix
extensiones	extensions
extensiones_cargadas	extensions_cargadas
extensiones_de_referencia	reference_extensions
f_banners_vacios	f_banners_empty
failed_conserva_el_fill	failed_keeps_the_fill
fallo	failure
fallo_la_task	task_failed
fallos	failures
fallos_proyectados	failures_proyectados
falso	fake
falso_con_arbol	fake_with_tree
falso_con_plan	fake_with_plan
falso_con_sesion	fake_with_session
falta	missing
falta_en_castellano	missing_in_spanish
falta_en_ingles	missing_in_english
faltan	missing
faults_cuenta_las_llamadas_a_read	faults_counts_the_calls_to_read
favorito	favorite
favorito_persistido	favorite_persistido
favoritos	favorites
favoritos_del_sidebar	sidebar_favorites
ficha	detail
ficha_abierta	detail_open
fichero	file
fichero_corrupto_es_error_no_panic	corrupt_file_is_an_error_not_a_panic
fichero_de_sumas	checksums_file
fichero_ilegible_es_error_no_tofu	unreadable_file_is_an_error_not_tofu
fijar_dir_pedido	pin_dir_requested
fijar_filas_del_visor	pin_viewer_rows
fijar_punto_de_salto	set_jump_point
fila	row
fila_adornada	row_adornada
fila_baja	row_down
fila_comparada	row_comparada
fila_compare	row_compare
fila_conexion	row_connection
fila_daemon	row_daemon
fila_de	row_of
fila_de_estado_con_png_en_kitty_sin_miniatura	status_row_with_png_in_kitty_without_thumbnail
fila_de_estado_con_png_sin_previewer	status_row_with_png_without_previewer
fila_de_extension	extension_row
fila_de_subir	upload_row
fila_de_suma	checksum_row
fila_elegida	row_chosen
fila_limpia	row_clean
fila_local	row_local
fila_o_cero	row_or_zero
fila_por_indice	row_by_index
fila_ruta	row_path
fila_texto	row_text
fila_tramos	row_tramos
fila_valida	row_valid
filas	rows
filas_ahora	rows_now
filas_antes	rows_before
filas_comparadas	rows_comparadas
filas_de	rows_of
filas_de_comandos	command_rows
filas_de_paleta	palette_rows
filas_de_registro	log_rows
filas_de_tablero	board_rows
filas_del_indice	index_rows
filas_por_publicar	rows_to_publish
filas_visibles	rows_visible
filling_de_un_pane_no_toca_el_hueco_del_otro	filling_of_one_pane_does_not_touch_the_others_slot
filtrando	filtering
filtrar_historia	filter_history
filtro	filter
filtro_de_registro	log_filter
filtros	filters
firma	signature
firma_de_panel	pane_signature
fixtures_nuevas_de_169_cumplen_lo_que_prometen	new_fixtures_from_169_deliver_what_they_promise
foco	focus
foco_tests	focus_tests
fondo	background
footer_de_aprobacion_enmascara_chord_hostil_de_una_capa	approval_footer_masks_a_layers_hostile_chord
formas	forms
formas_vacias	forms_empty
formas_vacias_de_reparto	empty_layout_shapes
formato	format
formato_ajeno	format_foreign
formato_de_nombre	name_format
foto	snapshot
foto_hasta	snapshot_until
foto_hasta_notice	snapshot_until_notice
foto_registro	snapshot_log
fotos	snapshots
fp_nueva	fp_new
frame_pinta_panes_y_badge_no_utf8	frame_paints_panes_and_non_utf8_badge
frase	phrase
fresh_con_papelera	fresh_with_trash
from_largo	from_long
ftps_require_conecta_y_valida_cert	ftps_require_connects_and_validates_cert
fuente	source
fuente_de_registro	log_source
fuente_efectiva	source_efectiva
fuente_txt	source_txt
fuera	outside
fuera_de_alcance_en_caliente	out_of_scope_hot
fuera_de_una_zona_no_se_despacha_nada	outside_a_zone_nothing_is_dispatched
fwd_dado	fwd_given
gastado	spent
gen_catalogo	gen_catalog
gen_extensiones	gen_extensions
gen_paleta	gen_palette
gen_perfiles	gen_profiles
gen_ramas	gen_branches
gen_salida	gen_output
gen_sitios	gen_places
gesto_de_panel	pane_gesture
girar	rotate
girar_cambia_el_eje_del_reparto_interior	rotating_changes_the_inner_splits_axis
git_apagado	git_off
glifo	glyph
gobernar_elegida	gobernar_chosen
gobernar_por_raton	govern_by_mouse
gobierno	governance
grande	large
grupo	group
grupos_de_pestanas	tab_groups
guardado	saved
guardar_ancho_de_columna	save_column_width
guardar_cursor	save_cursor
guardar_favorito	save_favorite
guardar_perfil	save_profile
guardar_y_restaurar_el_cursor_lleva_el_estilo	saving_and_restoring_the_cursor_carries_the_style
guardia_de_navegacion	navigation_guard
habia	had
habla	speaks
habla_por_su_informe	speaks_through_its_report
has_room_to_split_cuadra_con_el_colapso	has_room_to_split_matches_the_collapse
has_room_to_split_dice_que_no_cuando_el_reparto_colapsaria	has_room_to_split_says_no_when_the_split_would_collapse
hash_de_prueba	test_hash
hasta	until
hay_fila	hay_row
hay_lineas	hay_lines
hay_procesos	hay_processes
hay_que_decirlo	hay_that_say_it
hay_que_pedir	hay_that_request
hechas	done
hecho	done
hechos	facts
heredar_detalle	inherit_detail
hermana	sibling
hermana_del_preview	preview_sibling
hermana_del_visor	viewer_sibling
hijo	child
hijo_del_mapa_en	child_of_the_map_at
hijos	children
historia	history
historial	history
hoja	sheet
hoja_de_atributos	attributes_sheet
honesto	honest
hora_utc	time_utc
host_arbol	host_tree
host_compartido	host_shared
host_con_arbol	host_with_tree
host_con_backend_y_anillo	host_with_backend_and_ring
host_con_backend_y_registro	host_with_backend_and_log
host_con_capas	host_with_layers
host_con_capas_apiladas	host_with_stacked_layers
host_con_capas_y_favoritos	host_with_layers_and_favorites
host_con_caracteres_de_formato_rechazado	host_with_format_characters_is_rejected
host_con_linea	host_with_timeline
host_con_mapa	host_with_map
host_con_registro	host_with_log
host_con_rutas	host_with_paths
host_con_tema	host_with_theme
host_de_prueba	test_host
host_full_con_fila_de_subir	host_full_with_parent_row
host_hoja_sin_visor	leaf_host_without_viewer
host_ortodoxo_en	orthodox_host_in
host_solo_lectura	host_solo_read
hostil	hostile
hostil_bytes	hostile_bytes
hostil_fuera	hostile_outside
hostil_largo	hostile_long
hostiles	hostile
hubo_dialogos	was_dialogs
hueco	slot
hueco_de_kind	slot_of_kind
hueco_de_ramas	branches_slot
hueco_de_sitios	places_slot
hueco_del_arbol	tree_slot
hueco_del_lado	side_slot
hueco_destino	slot_dest
hueco_mut	slot_mut
huecos	slots
huecos_antes	slots_before
huecos_de_hoja	leaf_slots
huecos_de_panel	pane_slots
huecos_de_preview	preview_slots
huecos_de_registro	log_slots
huecos_iniciales	slots_initial
huella_a_nodo	footprint_to_node
huella_de_nodo	node_footprint
huellas_de_columnas	column_footprints
ia_en_vuelo	ai_in_flight
ia_renombrado	ia_renamed
icono	icon
iconos	icons
id_de_fila	row_id
ida_y_vuelta	round_trip
identico	identical
identidad	identity
identidad_de	identity_of
identidad_de_columna	column_identity
identidad_de_texto	text_identity
idioma	language
ids_del_tablero	board_ids
igualar	equalize
igualar_devuelve_los_paneles_a_la_mitad	equalizing_returns_the_panes_to_half
igualar_solo_toca_los_ponderados	equalizing_only_touches_the_weighted_ones
imagen_desde_miniatura	imagen_from_thumbnail
imposible	impossible
indice	index
indice_de_ir_a	goto_index
inerte	inert
informe	report
informe_de_empaquetado	packaging_report
informe_de_lote	batch_report
informe_de_sumas	checksums_report
informe_de_sync	sync_report
informe_de_undo	undo_report
informe_limpio	report_clean
informe_pack	report_pack
informe_pedido	report_requested
informe_undo	report_undo
inicio	start
initial_dir_pedido	initial_dir_requested
insertar_celdas	insertar_cells
insertar_el_mismo_kind_dos_veces_reemplaza	inserting_the_same_kind_twice_replaces
insertar_y_borrar_caracteres_en_la_fila	inserting_and_deleting_characters_in_the_row
insertar_y_borrar_lineas	inserting_and_deleting_lines
inservible	unusable
instalar_pagina	install_page
instancia	instance
instantanea	snapshot
instantanea_de_perfil	profile_snapshot
instruccion	instruction
intento	attempt
intercambiar_huecos	swap_slots
intercambiar_mueve_el_contenido_no_los_ids	swapping_moves_the_content_not_the_ids
inverso	inverse
invoke_copiar_sel	invoke_copy_sel
invoke_desconocido_es_none	invoke_unknown_es_none
invoke_ejecuta_y_reporta_ok	invoke_executes_and_reports_ok
ir_a_de_referencia	reference_goto
ir_a_indice	go_to_index
ir_a_miga	go_to_crumb
ir_a_pestana	go_to_tab
ir_al_resultado	go_to_result
irreversibles	irreversible
is_folded_sigue_al_toggle	is_folded_follows_the_toggle
izq	left
izq_antes	left_before
izq_hostil	left_hostile
izquierda	left
izquierdo	left
juntar_exige_empezar_por_el_primer_trozo	joining_requires_starting_with_the_first_chunk
juntar_trozos	join_chunks
juntos	together
key_de_mas_de_1024_bytes_se_rechaza_upfront	key_over_1024_bytes_is_rejected_upfront
keymap_aceptado_implica_resolucion_determinista	keymap_accepted_implica_resolucion_determinista
keymap_de_preset_con_capas	preset_keymap_with_layers
keymap_dialogo_de_preset	preset_dialog_keymap
keymap_dialogo_de_preset_con_capas	keymap_dialog_preset_with_layers
keymap_visor_de_preset_con_capas	preset_viewer_keymap_with_layers
keys_sembradas_desde_fuera_que_nosotros_no_creariamos	keys_seeded_from_outside_that_we_would_not_create
kitty_a_off_suelta_la_miniatura_colocada_ya_puesta	kitty_to_off_releases_the_already_placed_thumbnail
kitty_forzado_manda_aunque_la_sonda_dijera_que_no	forced_kitty_wins_even_if_the_probe_said_no
krusader_es_orthodox_con_el_sidebar_puesto	krusader_is_orthodox_with_sidebar_on
la_aprobacion_de_un_chmod_pinta_el_modo	the_approval_of_a_chmod_paints_the_mode
la_ayuda_se_pinta_sobre_el_viewer	the_help_is_painted_over_the_viewer
la_ayuda_y_la_version_se_reconocen	help_and_version_are_recognized
la_barra_anuncia_lo_que_haria_soltar_ahora	the_bar_announces_what_dropping_now_would_do
la_barra_de_estado_no_pertenece_a_ningun_pane	the_status_bar_does_not_belong_to_any_pane
la_barra_de_estado_trae_sus_elementos_y_se_pulsan	the_status_bar_brings_its_items_and_they_are_clickable
la_barra_de_paneles_ensena_los_paneles_y_un_click_los_abre	the_pane_bar_shows_the_panes_and_a_click_opens_them
la_barra_de_paneles_pinta_nombres_con_la_letra_subrayada_y_cae_a_letras	the_pane_bar_paints_names_with_the_underlined_letter_and_falls_back_to_letters
la_barra_de_teclas_pinta_lo_atado_y_un_clic_es_la_tecla	the_key_bar_paints_what_is_bound_and_a_click_is_the_key
la_cabecera_de_columnas_no_es_ninguna_fila	the_column_header_is_not_any_row
la_captura_se_suelta_y_se_restaura_alrededor_del_suspend	the_capture_is_released_and_restored_around_suspend
la_casa_no_depende_del_panel	home_does_not_depend_on_the_pane
la_descripcion_no_habla_de_un_spike	the_description_does_not_speak_of_a_spike
la_disposicion_de_la_ventana_se_respeta_y_el_relevo_la_entrega	the_windows_layout_is_respected_and_the_handoff_delivers_it
la_entrada_de_escritorio_es_la_que_esta_en_el_repo	the_desktop_entry_is_the_one_in_the_repo
la_especificidad_de_contexto_prevalece_sobre_la_capa	context_specificity_prevails_over_the_layer
la_extension_es_el_ultimo_punto_y_un_oculto_no_tiene	the_extension_is_the_last_dot_and_a_hidden_file_has_none
la_extension_no_distingue_mayusculas	the_extension_is_case_insensitive
la_feature_de_medida_no_es_la_de_por_defecto	the_measurement_feature_is_not_the_default_one
la_fila_dice_la_clase_y_sobre_que_actua_sin_el_id	the_row_says_the_class_and_what_it_acts_on_without_the_id
la_firma_es_rar5_y_el_contenido_va_crudo	the_signature_is_rar5_and_the_content_goes_raw
la_forma_del_arbol_no_decide_nada_aqui	the_trees_shape_decides_nothing_here
la_forma_del_corpus_no_cambia_sin_subir_el_puente	the_corpus_shape_does_not_change_without_bumping_the_bridge
la_franja_nombra_el_operando_con_el_panel_cerrado	the_strip_names_the_operand_with_the_pane_closed
la_fuente_efectiva_colapsa_hacia_el_anillo_que_existe	the_effective_source_collapses_toward_the_ring_that_exists
la_geometria_declarada_coincide_con_las_filas_pintadas	the_declared_geometry_matches_the_painted_rows
la_geometria_declarada_coincide_con_lo_pintado_con_el_sidebar_abierto	the_declared_geometry_matches_whats_painted_with_the_sidebar_open
la_hoja_dice_a_que_listado_sigue	the_sheet_says_which_listing_it_follows
la_hoja_no_se_lleva_el_teclado_nunca	the_sheet_never_takes_the_keyboard
la_linea_de_estado_explica_la_pareja_seleccionada	the_status_line_explains_the_selected_pair
la_marca_de_sin_listar_se_va_con_el_primer_listado	the_unlisted_mark_goes_away_with_the_first_listing
la_paleta_ejecuta_un_comando_de_extension_y_ensena_su_salida	the_palette_runs_an_extension_command_and_shows_its_output
la_paleta_pide_el_plan_a_un_renamer_y_lo_revisa_como_el_de_la_ia	the_palette_requests_the_plan_from_a_renamer_and_reviews_it_like_the_ais
la_pantalla_alterna_devuelve_lo_que_habia	the_alternate_screen_returns_what_was_there
la_pantalla_orthodox_no_se_mueve	the_orthodox_screen_does_not_move
la_plantilla_admite_texto_no_ascii	the_template_accepts_non_ascii_text
la_politica_decide_a_que_se_traduce_mod	the_policy_decides_what_mod_translates_to
la_posicion_absoluta_de_un_solo_eje	the_absolute_position_of_a_single_axis
la_puerta_de_la_ventana_es_estrecha	the_windows_door_is_narrow
la_raiz_local_se_sugiere_como_barra	the_local_root_is_suggested_as_the_slash
la_raiz_ocupada_se_numera_sin_padre	the_taken_root_is_numbered_without_parent
la_raiz_remota_se_sugiere_con_su_authority	the_remote_root_is_suggested_with_its_authority
la_rama_del_arbol_va_al_ultimo_listado_enfocado	the_tree_branch_goes_to_the_last_focused_listing
la_region_de_scroll_no_mueve_lo_de_fuera	the_scroll_region_does_not_move_whats_outside
la_regla_de_marcas_cuenta_los_mismos_tramos_en_los_dos_lados	the_marks_rule_counts_the_same_segments_on_both_sides
la_respuesta_de_una_apertura_anterior_no_aterriza	the_response_of_an_earlier_open_does_not_land
la_rueda_baja_por_la_ayuda_y_un_clic_elige_pagina	the_wheel_scrolls_down_through_help_and_a_click_chooses_a_page
la_rueda_desplaza_el_pane_bajo_el_puntero_y_no_el_del_foco	the_wheel_scrolls_the_pane_under_the_pointer_and_not_the_focused_one
la_rueda_mueve_el_cursor_y_cambiar_de_fila_cierra_los_ajustes_ajenos	the_wheel_moves_the_cursor_and_changing_row_closes_foreign_settings
la_rueda_sobre_el_visor_lo_desplaza_y_no_el_listado	the_wheel_over_the_viewer_scrolls_it_and_not_the_listing
la_salida_de_un_comando_no_deja_pasar_teclas	a_commands_output_does_not_let_keys_through
la_secuencia_pendiente_se_ve_en_la_status_bar	the_pending_sequence_shows_in_the_status_bar
la_segunda_pulsacion_enfoca_el_preview	the_second_press_focuses_the_preview
la_sesion_gana_a_profile_start	the_session_wins_over_profile_start
la_sugerencia_es_el_ultimo_segmento	the_suggestion_is_the_last_segment
la_sugerencia_va_saneada_como_cualquier_nombre_pintado	the_suggestion_is_sanitized_like_any_painted_name
la_superficie_de_comandos_es_la_declarada	the_command_surface_is_the_declared_one
la_tecla_de_la_fuente_solo_significa_algo_con_daemon	the_source_key_only_means_something_with_a_daemon
la_tercera_pulsacion_cierra_y_devuelve_el_arbol_de_antes	the_third_press_closes_and_returns_the_previous_tree
